scientific_name,common_name,iconic_taxon_name,taxon_kingdom,taxon_id
Claytonia perfoliata,miner's lettuce,Plantae,Plantae,52994.0
Clemacantha goliath,Goliath Stick Insect,Insecta,Animalia,1570626.0
Cleome houtteana,Spider flower,Plantae,Plantae,559683.0
Cleomella serrulata,Rocky Mountain Beeplant,Plantae,Plantae,1415100.0
Clethrionomys glareolus,Bank Vole,Mammalia,Animalia,1431273.0
Cletoliturus lituripennis,,Insecta,Animalia,604606.0
Clinocardium nuttallii,Nuttall's Cockle,Mollusca,Animalia,69925.0
Clivia miniata miniata,Benediction Lily,Plantae,Plantae,598250.0
Clonia assimilis,Eastern Black-winged Clonia,Insecta,Animalia,433457.0
Clupea pallasii,Pacific Herring,Actinopterygii,Animalia,117571.0
Clutia pulchella,Warty Clut,Plantae,Plantae,582488.0
Coccinella septempunctata,Seven-spotted Lady Beetle,Insecta,Animalia,51702.0
Coccoloba uvifera,sea grape,Plantae,Plantae,127284.0
Coccophaginae,,Insecta,Animalia,748550.0
Coccopygia quartinia,Yellow-bellied Waxbill,Aves,Animalia,145335.0
Coccus hesperidum,Brown Soft Scale,Insecta,Animalia,330200.0
Coccyzus americanus,Yellow-billed Cuckoo,Aves,Animalia,1965.0
Cocos nucifera,coconut palm,Plantae,Plantae,48865.0
Coddia rudis,Coddia,Plantae,Plantae,582500.0
Coeligena torquata,Collared Inca,Aves,Animalia,6214.0
Coelonia fulvinotata,Fulvous Hawk,Insecta,Animalia,429114.0
Coenagrion puella,Azure Damselfly,Insecta,Animalia,51678.0
Coenonympha california,Common Ringlet,Insecta,Animalia,69145.0
Coenosia,Tiger Flies,Insecta,Animalia,132071.0
Coenosia tigrina,Common Tiger Fly,Insecta,Animalia,133769.0
Colaptes auratus,Northern Flicker,Aves,Animalia,18236.0
Colaptes auratus luteus,Northern Yellow-shafted Flicker,Aves,Animalia,555736.0
Coleomegilla maculata,Spotted Pink Lady Beetle,Insecta,Animalia,126267.0
Coleoptera,Beetles,Insecta,Animalia,47208.0
Colias eurytheme,Orange Sulphur,Insecta,Animalia,58532.0
Colibri coruscans,Sparkling Violetear,Aves,Animalia,6072.0
Colius striatus,Speckled Mousebird,Aves,Animalia,3704.0
Colius striatus integralis,Lowveld Speckled Mousebird,Aves,Animalia,626350.0
Colius striatus minor,Bushveld Speckled Mousebird,Aves,Animalia,570752.0
Colobopsis impressa,Common Gate-keeper Ant,Insecta,Animalia,495052.0
Colonus hesperus,,Arachnida,Animalia,486453.0
Colonus sylvanus,Sylvan Jumping Spider,Arachnida,Animalia,486456.0
Colophospermum mopane,Mopane,Plantae,Plantae,428749.0
Colotis annae,Scarlet Tip,Insecta,Animalia,658911.0
Colotis annae annae,Scarlet Tip,Insecta,Animalia,658911.0
Colotis auxo auxo,Sulphur Orange Tip,Insecta,Animalia,894675.0
Colotis euippe,Southern Round-winged Orange Tip,Insecta,Animalia,658920.0
Colotis euippe omphale,Southern Round-winged Orange Tip,Insecta,Animalia,658920.0
Colotis evagore,Desert Orange Tip,Insecta,Animalia,203128.0
Coluber constrictor,Southern Black Racer,Reptilia,Animalia,27140.0
Coluber constrictor priapus,Southern Black Racer,Reptilia,Animalia,27140.0
Columba arquatrix,Rameron Pigeon,Aves,Animalia,3012.0
Columba livia,Rock Pigeon,Aves,Animalia,3017.0
Columba livia domestica,Feral Pigeon,Aves,Animalia,122767.0
Columba palumbus,Common Wood-Pigeon,Aves,Animalia,3048.0
Columba vitiensis,New Caledonia Metallic Pigeon,Aves,Animalia,485668.0
Columba vitiensis hypoenochroa,New Caledonia Metallic Pigeon,Aves,Animalia,485668.0
Columbidae,Pigeons and Doves,Aves,Animalia,2715.0
Combretum kraussii,Forest Bushwillow,Plantae,Plantae,135386.0
Combretum microphyllum,flame-creeper,Plantae,Plantae,340115.0
Combretum molle,Velvet Bushwillow,Plantae,Plantae,342738.0
Combretum paniculatum,forest flame-creeper,Plantae,Plantae,342536.0
Commelina,dayflowers,Plantae,Plantae,52893.0
Commelina benghalensis,tropical spiderwort,Plantae,Plantae,76425.0
Commelina erecta,whitemouth dayflower,Plantae,Plantae,53478.0
Commelina forskaolii,Rat's-ear,Plantae,Plantae,153174.0
Condylostylus caudatus,,Insecta,Animalia,1101426.0
Condylostylus mundus,,Insecta,Animalia,461393.0
Conger conger,European Conger,Actinopterygii,Animalia,118589.0
Coniodictyum chevalieri,,Fungi,Fungi,945634.0
Connochaetes taurinus mearnsi,Western White-bearded Wildebeest,Mammalia,Animalia,425038.0
Connochaetes taurinus taurinus,Blue Wildebeest,Mammalia,Animalia,528081.0
Conocephalus melaenus,Black-kneed Meadow Katydid,Insecta,Animalia,372673.0
Convolvulus,bindweeds,Plantae,Plantae,53022.0
Convolvulus arvensis,field bindweed,Plantae,Plantae,53021.0
Copestylum satur,Spotted-wing Bromeliad Fly,Insecta,Animalia,447391.0
Coprinopsis lagopus,hare's foot inkcap,Fungi,Fungi,55605.0
Copsychus saularis,Oriental Magpie-Robin,Aves,Animalia,204491.0
Coracias caudatus caudatus,Lilac-breasted Roller,Aves,Animalia,516777.0
Coracias garrulus garrulus,,Aves,Animalia,633603.0
Coracias garrulus semenowi,,Aves,Animalia,605743.0
Coragyps atratus,Black Vulture,Aves,Animalia,4765.0
Coragyps atratus brasiliensis,Neotropical Black Vulture,Aves,Animalia,326749.0
Corbicula fluminea,Asian Clam,Mollusca,Animalia,64006.0
Cordia afra,Septee tree,Plantae,Plantae,1588264.0
Cordylepherus viridis,,Insecta,Animalia,495304.0
Coreidae,Leaf-footed Bugs,Insecta,Animalia,51777.0
Corgatha wojtusiaki,,Insecta,Animalia,1200925.0
Cornu aspersum,Garden Snail,Mollusca,Animalia,480298.0
Cornus sericea,red osier dogwood,Plantae,Plantae,53387.0
Cornutiplusia circumflexa,Essex Y,Insecta,Animalia,483546.0
Corthylio calendula,Ruby-crowned Kinglet,Aves,Animalia,1289388.0
Corvus albus,Pied Crow,Aves,Animalia,8038.0
Corvus brachyrhynchos,American Crow,Aves,Animalia,8021.0
Corvus corax,Common Raven,Aves,Animalia,8010.0
Corvus cornix,Hooded Crow,Aves,Animalia,144757.0
Corvus coronoides coronoides,Eastern Australian Raven,Aves,Animalia,721987.0
Corvus orru,Torresian Crow,Aves,Animalia,8028.0
Corypha africana,Rufous-naped Lark,Aves,Animalia,1572860.0
Corythornis cristatus,Southern Malachite Kingfisher,Aves,Animalia,623326.0
Corythornis cristatus cristatus,Southern Malachite Kingfisher,Aves,Animalia,623326.0
Cosmolestes pictus,,Insecta,Animalia,361673.0
Cosmos bipinnatus,garden cosmos,Plantae,Plantae,68562.0
Cotesia congregata,Hornworm Parasitoid Wasp,Insecta,Animalia,83916.0
Cotesia glomerata,Cabbage White Parasitoid Wasp,Insecta,Animalia,63184.0
Cotinis nitida,Common Green June Beetle,Insecta,Animalia,118538.0
Cotoneaster pannosus,silverleaf cotoneaster,Plantae,Plantae,53375.0
Cottoidei,Sculpins and Allies,Actinopterygii,Animalia,1303567.0
Cottus bairdii,Mottled Sculpin,Actinopterygii,Animalia,47636.0
Cottus gobio,European Bullhead,Actinopterygii,Animalia,47635.0
Crassiclitellata,Typical Earthworms,Animalia,Animalia,152943.0
Crassula multicava,Fairy Stonecrop,Plantae,Plantae,76464.0
Crassula vaginata,White Stonecrop,Plantae,Plantae,582981.0
Crataegus monogyna,common hawthorn,Plantae,Plantae,51147.0
Crematogaster castanea,Red Cocktail ant,Insecta,Animalia,460157.0
Crematogaster gambiensis krantziana,,Insecta,Animalia,659799.0
Crematogaster scutellaris,Mediterranean Acrobat Ant,Insecta,Animalia,342899.0
Creobroter gemmatus,Jeweled Flower Mantis,Insecta,Animalia,155482.0
Cricetidae,"Hamsters, Voles, Lemmings, and Allies",Mammalia,Animalia,55986.0
Cricetomys ansorgei,Southern Giant Pouched Rat,Mammalia,Animalia,1453959.0
Crinifer concolor,Grey Go-away-bird,Aves,Animalia,1506034.0
Crinifer concolor bechuanae,Kalahari Go-Away,Aves,Animalia,1506039.0
Crinocheta,,Animalia,Animalia,343798.0
Crinum,Swamplilies,Plantae,Plantae,62928.0
Crithagra citrinipectus,Lemon-breasted Seedeater,Aves,Animalia,558612.0
Crithagra gularis,Streaky-headed Seedeater,Aves,Animalia,979671.0
Crithagra mennelli,Black-eared Seedeater,Aves,Animalia,558626.0
Crithagra mozambica,Grant's Yellow-fronted Canary,Aves,Animalia,603366.0
Crithagra mozambica granti,Grant's Yellow-fronted Canary,Aves,Animalia,603366.0
Crithagra sulphurata sulphurata,Cape Brimstone Canary,Aves,Animalia,698087.0
Crithagra sulphurata wilsoni,Eastern Brimstone Canary,Aves,Animalia,698088.0
Crocodylus acutus,American Crocodile,Reptilia,Animalia,26085.0
Crocodylus niloticus,Southern African Crocodile,Reptilia,Animalia,26052.0
Crocodylus niloticus cowiei,Southern African Crocodile,Reptilia,Animalia,26052.0
Crocodylus palustris,Mugger Crocodile,Reptilia,Animalia,26063.0
Crocosmia,Montbretias,Plantae,Plantae,61186.0
Crocuta crocuta,Spotted Hyena,Mammalia,Animalia,41886.0
Crotalaria capensis,Cape Rattlepod,Plantae,Plantae,583028.0
Crotalaria natalensis,,Plantae,Plantae,583056.0
Crotalaria ochroleuca,slender leaf rattlebox,Plantae,Plantae,161145.0
Crotalus cerastes,Sidewinder,Reptilia,Animalia,30751.0
Crotalus oreganus,Northern Pacific Rattlesnake,Reptilia,Animalia,48267.0
Crotalus oreganus oreganus,Northern Pacific Rattlesnake,Reptilia,Animalia,48267.0
Croton,Crotons,Plantae,Plantae,53165.0
Croton megalocarpus,,Plantae,Plantae,133588.0
Croton pseudopulchellus,Lesser Lavender Croton,Plantae,Plantae,583078.0
Croton sylvaticus,forest fever-berry,Plantae,Plantae,430901.0
Crustacea,Crustaceans,Animalia,Animalia,85493.0
Cryptachaea veruculata,Diamond Comb-footed Spider,Arachnida,Animalia,370288.0
Cryptochiton stelleri,Gumboot Chiton,Mollusca,Animalia,49053.0
Cryptococcus fagisuga,Beech Scale,Insecta,Animalia,54061.0
Cryptophyllium,,Insecta,Animalia,1199060.0
Ctenarytaina melanota,Umdoni Aphalarid,Insecta,Animalia,1199757.0
Cubophis caymanus,Grand Cayman Racer,Reptilia,Animalia,98784.0
Cucullia calendulae,,Insecta,Animalia,325531.0
Cuculus clamosus,Black Cuckoo,Aves,Animalia,1913.0
Cuculus solitarius,Red-chested Cuckoo,Aves,Animalia,1903.0
Cucumaria miniata,Orange Sea Cucumber,Animalia,Animalia,117695.0
Cucurbita pepo,American pumpkin,Plantae,Plantae,76541.0
Cuerna costalis,Lateral-lined Sharpshooter,Insecta,Animalia,132083.0
Culex territans,Northern Frog-biting Mosquito,Insecta,Animalia,372340.0
Culicidae,Mosquitoes,Insecta,Animalia,52134.0
Culicomorpha,Mosquitoes and Midges,Insecta,Animalia,153429.0
Cuphea ignea,Cigar plant,Plantae,Plantae,153021.0
Cupido comyntas,Eastern Tailed-Blue,Insecta,Animalia,122381.0
Curruca melanocephala,Sardinian Warbler,Aves,Animalia,1289472.0
Cuspicona simplex,Green potato bug,Insecta,Animalia,388221.0
Cyana pretoriae,Pretoria Red Lines,Insecta,Animalia,569732.0
Cyaniris semiargus,Mazarine Blue,Insecta,Animalia,62439.0
Cyanistes caeruleus,Eurasian Blue Tit,Aves,Animalia,144849.0
Cyanocitta stelleri,Steller's Jay,Aves,Animalia,8234.0
Cyanomitra olivacea,Olive Sunbird,Aves,Animalia,145136.0
Cyanomitra olivacea sclateri,Tuftless Olive Sunbird,Aves,Animalia,698109.0
Cyanopica cooki,Iberian Magpie,Aves,Animalia,339684.0
Cycloplasis panicifoliella,,Insecta,Animalia,508160.0
Cycnia collaris,Unexpected Cycnia Moth,Insecta,Animalia,479737.0
Cyligramma latona,Creamstriped Owl,Insecta,Animalia,85488.0
Cymatogaster aggregata,Shiner Surfperch,Actinopterygii,Animalia,98855.0
Cymbalaria muralis,Ivy-leaved toadflax,Plantae,Plantae,55727.0
Cymopterus lemmonii,Alpine False Springparsley,Plantae,Plantae,1046829.0
Cynanchum ellipticum,Monkeyrope Buckhorn,Plantae,Plantae,569355.0
Cynanchum laeve,honey-vine climbing milkweed,Plantae,Plantae,136381.0
Cynanchum natalitium,Natal Buckhorn,Plantae,Plantae,583199.0
Cynanchum viminale,Caustic Vine,Plantae,Plantae,515686.0
Cynara cardunculus,Artichoke Thistle,Plantae,Plantae,57563.0
Cynomorium coccineum,Red Thumb,Plantae,Plantae,50902.0
Cynoscion nebulosus,Spotted Seatrout,Actinopterygii,Animalia,179620.0
Cyperaceae,sedges,Plantae,Plantae,47161.0
Cyperus articulatus,Jointed Flatsedge,Plantae,Plantae,161422.0
Cyperus niveus leucocephalus,White Bluntflower Sedge,Plantae,Plantae,427433.0
Cyperus polystachyos polystachyos,Manyspike Flatsedge,Plantae,Plantae,240241.0
Cyperus solidus,,Plantae,Plantae,583264.0
Cyphostemma cirrhosum,Pucker Grape,Plantae,Plantae,583330.0
Cyphostemma princeae,,Plantae,Plantae,415413.0
Cyprinidae,Cyprinids,Actinopterygii,Animalia,49609.0
Cyprininae,Typical Carps,Actinopterygii,Animalia,607661.0
Cyprinoidei,Carps and Minnows,Actinopterygii,Animalia,1303592.0
Cyprinus carpio,European Carp,Actinopterygii,Animalia,53911.0
Cyrtacanthacridinae,Bird Grasshoppers,Insecta,Animalia,337688.0
Cyrtophora citricola,Tropical Tent-web Spider,Arachnida,Animalia,130082.0
Cyrtophora moluccensis,Dome Web Spider,Arachnida,Animalia,120520.0
Cyrtoxipha,Green Trigs,Insecta,Animalia,324894.0
Cystotheca mexicana,,Fungi,Fungi,1468934.0
Dactylopius opuntiae,Cactus Scattered Cochineal,Insecta,Animalia,335785.0
Dahlia,Dahlias,Plantae,Plantae,58465.0
Dais cotinifolia,Pompom Tree,Plantae,Plantae,583419.0
Dalbergia armata,Hluhluwe Creeper,Plantae,Plantae,430922.0
Dalbergia obovata,Climbing Flatbean,Plantae,Plantae,583423.0
Dalechampia capensis,Common Wildhop,Plantae,Plantae,583424.0
Damaliscus lunatus lunatus,Common Tsessebe,Mammalia,Animalia,132770.0
Danaus chrysippus,African Monarch,Insecta,Animalia,571353.0
Danaus chrysippus orientis,African Monarch,Insecta,Animalia,571353.0
Danaus genutia,Common Tiger Butterfly,Insecta,Animalia,146923.0
Danaus gilippus,Queen,Insecta,Animalia,51743.0
Danaus plexippus,Monarch,Insecta,Animalia,48662.0
Dasypus novemcinctus,Nine-banded Armadillo,Mammalia,Animalia,47075.0
Dasyscolia ciliata,,Insecta,Animalia,545098.0
Datura stramonium,jimsonweed,Plantae,Plantae,55854.0
Datura wrightii,Sacred Datura,Plantae,Plantae,58331.0
Daucus carota,wild carrot,Plantae,Plantae,76610.0
Decapoda,Decapods,Animalia,Animalia,47186.0
Deinbollia oblongifolia,Dune soapberry,Plantae,Plantae,430931.0
Dejeania bombylans,Bloated Hedgehog Fly,Insecta,Animalia,468238.0
Delphacidae,Delphacid Planthoppers,Insecta,Animalia,123608.0
Delphinium,larkspurs,Plantae,Plantae,48493.0
Delta fenestrale,,Insecta,Animalia,425070.0
Dendrelaphis pictus,Painted Bronzeback,Reptilia,Animalia,26644.0
Dendroaspis polylepis,Black Mamba,Reptilia,Animalia,30405.0
Dendrophthoe falcata,leafy mistletoe,Plantae,Plantae,427493.0
Dendropicos griseocephalus griseocephalus,Southern Olive Woodpecker,Aves,Animalia,1506406.0
Dendryphantini,,Arachnida,Animalia,712034.0
Dermasterias imbricata,Leather Star,Animalia,Animalia,63382.0
Dermestes maculatus,Hide Beetle,Insecta,Animalia,81950.0
Descurainia sophia,flixweed,Plantae,Plantae,58074.0
Desmodium incanum,creeping beggarweed,Plantae,Plantae,116694.0
Desmognathus monticola,Seal Salamander,Amphibia,Animalia,27413.0
Deudorix antalus,Brown Playboy,Insecta,Animalia,357419.0
Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insecta,Animalia,55487.0
Diadophis punctatus,Ring-necked Snake,Reptilia,Animalia,26575.0
Dialictus,Metallic Sweat Bees,Insecta,Animalia,126545.0
Dianella bambusifolia,,Plantae,Plantae,369569.0
Diaulula sandiegensis,San Diego Dorid,Mollusca,Animalia,508884.0
Dichanthelium clandestinum,deertongue,Plantae,Plantae,131000.0
Dichrostachys cinerea,aroma,Plantae,Plantae,129706.0
Dicranocephalus schmitzi,,Insecta,Animalia,1138752.0
Dicrurus adsimilis adsimilis,Coastal Fork-tailed Drongo,Aves,Animalia,566787.0
Dictyopharidae,Dictyopharid Planthoppers,Insecta,Animalia,53509.0
Didelphis virginiana,Virginia Opossum,Mammalia,Animalia,42652.0
Digitaria,"crabgrasses, cottontops, and allies",Plantae,Plantae,51637.0
Diglossa lafresnayii,Glossy Flowerpiercer,Aves,Animalia,9835.0
Dillenia suffruticosa,Simpoh Air,Plantae,Plantae,346360.0
Dilophus,,Insecta,Animalia,247434.0
Dinocampus coccinellae,Ladybird Parasitoid Wasp,Insecta,Animalia,128244.0
Dioctria hyalipennis,Stripe-legged Robber Fly,Insecta,Animalia,135239.0
Dione vanillae,Gulf Fritillary,Insecta,Animalia,49150.0
Dioprosopa clavata,Four-speckled Hover Fly,Insecta,Animalia,479803.0
Diospyros,persimmons,Plantae,Plantae,83434.0
Diospyros kaki,Japanese Persimmon,Plantae,Plantae,83468.0
Diospyros lotus,Date plum,Plantae,Plantae,83445.0
Diospyros lycioides,Bluebush,Plantae,Plantae,469308.0
Diospyros lycioides sericea,Hairy Bluebush,Plantae,Plantae,598743.0
Diospyros senensis,spiny jackalberry,Plantae,Plantae,340116.0
Diospyros texana,Texas Persimmon,Plantae,Plantae,120505.0
Diospyros virginiana,American persimmon,Plantae,Plantae,83435.0
Diplacodes lefebvrii,Black Percher,Insecta,Animalia,99327.0
Diplognatha gagates,Large Black Nest Chafer,Insecta,Animalia,519934.0
Diplognatha gagates silicea,Black Mirror Chafer,Insecta,Animalia,662491.0
Diplorhynchus condylocarpon,wild-rubber,Plantae,Plantae,340194.0
Diplotaxis tenuifolia,Perennial Wall-rocket,Plantae,Plantae,76665.0
Dipodomys heermanni,Heermann's Kangaroo Rat,Mammalia,Animalia,44121.0
Dipodomys ingens,Giant Kangaroo Rat,Mammalia,Animalia,44125.0
Dipsacus fullonum,wild teasel,Plantae,Plantae,56002.0
Diptera,Flies,Insecta,Animalia,47822.0
Dirrhagofarsus,,Insecta,Animalia,494851.0
Discurria insessa,Seaweed Limpet,Mollusca,Animalia,129963.0
Disonycha discoidea,,Insecta,Animalia,218601.0
Dispholidus typus,Common Boomslang,Reptilia,Animalia,30360.0
Dispholidus typus typus,Common Boomslang,Reptilia,Animalia,30360.0
Distephanus angulifolius,Trailing Bitter-tea,Plantae,Plantae,584088.0
Distephanus inhacensis,Dune Bitter-tea,Plantae,Plantae,584091.0
Dittrichia graveolens,Stinkwort,Plantae,Plantae,58822.0
Dolba hyloeus,Pawpaw Sphinx,Insecta,Animalia,143441.0
Dolichovespula arenaria,Common Aerial Yellowjacket,Insecta,Animalia,118913.0
Dolichovespula maculata,Bald-faced Hornet,Insecta,Animalia,52911.0
Dolomedes albineus,White-banded Fishing Spider,Arachnida,Animalia,362543.0
Dolomedes scriptus,Striped Fishing Spider,Arachnida,Animalia,143293.0
Dolomedes triton,Six-spotted Fishing Spider,Arachnida,Animalia,121437.0
Dombeya burgessiae,Pink Dombeya,Plantae,Plantae,430960.0
Donax canniformis,canna-leaf donax,Plantae,Plantae,328408.0
Doris montereyensis,Monterey Dorid,Mollusca,Animalia,47469.0
Dorosoma cepedianum,American Gizzard Shad,Actinopterygii,Animalia,99544.0
Dovyalis zeyheri,Wild Apricot,Plantae,Plantae,584115.0
Dracaena aletriformis,Large-leaved Dragon Tree,Plantae,Plantae,132590.0
Draeculacephala,,Insecta,Animalia,130042.0
Dreissena bugensis,Quagga Mussel,Mollusca,Animalia,151570.0
Drimia altissima,Tall Squill,Plantae,Plantae,507049.0
Drimys winteri,Winter's Bark,Plantae,Plantae,278781.0
Drosera anglica,Great Sundew,Plantae,Plantae,52655.0
Drosera madagascariensis,Madagascar Sundew,Plantae,Plantae,123533.0
Drosophila repleta,,Insecta,Animalia,329848.0
Dryas iulia,Julia Heliconian,Insecta,Animalia,50073.0
Dryobates pubescens,Northern Downy Woodpecker,Aves,Animalia,793027.0
Dryobates pubescens medianus,Northern Downy Woodpecker,Aves,Animalia,793027.0
Duberria lutrix lutrix,Southern Slugeater,Reptilia,Animalia,30329.0
Duberria variegata,Spotted Slug-eater,Reptilia,Animalia,30325.0
Duttaphrynus melanostictus,Asian Common Toad,Amphibia,Animalia,62345.0
Dyschoriste thunbergiiflora,,Plantae,Plantae,525850.0
Dysmachus trigonus,fan-bristled robberfly,Insecta,Animalia,325258.0
Earias insulana,Egyptian Bollworm,Insecta,Animalia,344823.0
Ecballium elaterium,squirting cucumber,Plantae,Plantae,162161.0
Ecbolium glabratum,,Plantae,Plantae,584345.0
Eccopsis incultana,,Insecta,Animalia,663423.0
Echinocystis lobata,wild cucumber,Plantae,Plantae,48618.0
Echinophora spinosa,Spinose Pickling Herb,Plantae,Plantae,319702.0
Echium,Viper's-buglosses,Plantae,Plantae,56175.0
Echium candicans,Pride of Madeira,Plantae,Plantae,57723.0
Ecteinascidia turbinata,Mangrove Tunicate,Animalia,Animalia,132500.0
Edgeworthia chrysantha,oriental paperbush,Plantae,Plantae,133126.0
Efferia,Hammertails,Insecta,Animalia,61610.0
Efferia aestuans,Northeastern Hammertail,Insecta,Animalia,61607.0
Efferia albibarbis,Sand Hammertail,Insecta,Animalia,61608.0
Egregia menziesii,Feather Boa Kelp,Chromista,Chromista,67419.0
Egretta caerulea,Little Blue Heron,Aves,Animalia,4937.0
Egretta garzetta,Little Egret,Aves,Animalia,4943.0
Egretta thula,Snowy Egret,Aves,Animalia,4940.0
Egybolis vaillantina,African Peach Moth,Insecta,Animalia,209694.0
Eicochrysops messapus,Cupreous Blue,Insecta,Animalia,697336.0
Elaeodendron croceum,Forest Saffron,Plantae,Plantae,557692.0
Elanoides forficatus,Swallow-tailed Kite,Aves,Animalia,5301.0
Elanus axillaris,Black-shouldered Kite,Aves,Animalia,5276.0
Elanus leucurus,White-tailed Kite,Aves,Animalia,5277.0
Eleodes gracilis distans,,Insecta,Animalia,996843.0
Elgaria multicarinata,Southern Alligator Lizard,Reptilia,Animalia,32055.0
Elisolimax flavescens,African Banana Slug,Mollusca,Animalia,566626.0
Elytraria acaulis,,Plantae,Plantae,355845.0
Emberiza schoeniclus,Reed Bunting,Aves,Animalia,9201.0
Embiotoca,,Actinopterygii,Animalia,88143.0
Emerita analoga,Pacific Sand Crab,Animalia,Animalia,47414.0
Emerita talpoida,Atlantic Sand Crab,Animalia,Animalia,47182.0
Emydidae,Pond and Box Turtles,Reptilia,Animalia,39760.0
Enallagma,Bluets,Insecta,Animalia,50175.0
Encephalartos villosus,poor man's cycad,Plantae,Plantae,135968.0
Encyrtinae,,Insecta,Animalia,465402.0
Endomychus coccineus,False Ladybird,Insecta,Animalia,504738.0
Englerophytum magalismontanum,Stamvrug,Plantae,Plantae,468538.0
Engraulis mordax,Northern Anchovy,Actinopterygii,Animalia,63770.0
Enhydra lutris,Southern Sea Otter,Mammalia,Animalia,117520.0
Enhydra lutris nereis,Southern Sea Otter,Mammalia,Animalia,117520.0
Enicospilus glabratus,,Insecta,Animalia,264337.0
Ennomini,,Insecta,Animalia,123091.0
Enophrys bison,Buffalo Sculpin,Actinopterygii,Animalia,117536.0
Enoplognatha ovata,Common candy-striped spider,Arachnida,Animalia,219195.0
Ensifera,"Katydids, Crickets, and Allies",Insecta,Animalia,132694.0
Entelegynae,Entelegyne Spiders,Arachnida,Animalia,342614.0
Enteroctopus dofleini,Giant Pacific Octopus,Mollusca,Animalia,48863.0
Entomophthora,,Fungi,Fungi,55117.0
Entypus unifasciatus,,Insecta,Animalia,143299.0
Epargyreus clarus,Silver-spotted Skipper,Insecta,Animalia,81559.0
Ephemera danica,European Green Drake,Insecta,Animalia,452500.0
Ephemeroptera,Mayflies,Insecta,Animalia,48011.0
Ephydrini,,Insecta,Animalia,512114.0
Epinotia tedella,Common Spruce Bell,Insecta,Animalia,358013.0
Epirrhoe plebeculata,Orange-winged Carpet,Insecta,Animalia,219357.0
Equus quagga burchellii,Burchell's Zebra,Mammalia,Animalia,447362.0
Eratigena agrestis,Hobo Spider,Arachnida,Animalia,454859.0
Eratigena inermis,,Arachnida,Animalia,783356.0
Erebidae,"Underwing, Tiger, Tussock, and Allied Moths",Insecta,Animalia,121850.0
Erianthemum dregei,Silky matchflower,Plantae,Plantae,584623.0
Erianthemum virescens,,Plantae,Plantae,514003.0
Eriboea guderiana,Blue Spangled Prince,Insecta,Animalia,1608725.0
Ericameria nauseosa,Rubber Rabbitbrush,Plantae,Plantae,57934.0
Erigeron,fleabanes and horseweeds,Plantae,Plantae,50879.0
Erigeron compositus,cut-leaf fleabane,Plantae,Plantae,76912.0
Erigeron flagellaris,trailing fleabane,Plantae,Plantae,76919.0
Erimyzon sucetta,Lake Chubsucker,Actinopterygii,Animalia,58660.0
Erinaceus europaeus,Common Hedgehog,Mammalia,Animalia,43042.0
Eriogonum fasciculatum,California Buckwheat,Plantae,Plantae,54999.0
Eriogonum ovalifolium purpureum,purple cushion wild buckwheat,Plantae,Plantae,80835.0
Eriogonum pyrolifolium pyrolifolium,pyrola-leaved buckwheat,Plantae,Plantae,80841.0
Eriogonum umbellatum,sulfur buckwheat,Plantae,Plantae,77040.0
Eriophora ravilla,Tropical Orbweaver,Arachnida,Animalia,53272.0
Eriophyes inermae,White Milkwood Gall Mite,Arachnida,Animalia,664904.0
Eriophyes laevis,Alder Leaf Gall Mite,Arachnida,Animalia,464223.0
Eriophyllum confertiflorum,Golden Yarrow,Plantae,Plantae,53395.0
Eriosema pauciflorum,,Plantae,Plantae,585357.0
Eriosema psoraleoides,Yellowseed Eriosema,Plantae,Plantae,479401.0
Eristalinae,Drone Flies and Allies,Insecta,Animalia,326181.0
Eristalinus barclayi,,Insecta,Animalia,1258832.0
Eristalinus quinquelineatus,,Insecta,Animalia,1413387.0
Eristalinus taeniops,Stripe-eyed Lagoon Fly,Insecta,Animalia,145540.0
Eristalis anthophorina,Orange-spotted Drone Fly,Insecta,Animalia,491047.0
Eristalis arbustorum,Eurasian Drone Fly,Insecta,Animalia,320786.0
Eristalis pertinax,Tapered Drone Fly,Insecta,Animalia,52490.0
Eristalis stipator,Yellow-shouldered Drone Fly,Insecta,Animalia,425250.0
Eristalis tenax,Common Drone Fly,Insecta,Animalia,55719.0
Erithacus rubecula,European Robin,Aves,Animalia,13094.0
Erodium botrys,Mediterranean Stork's-bill,Plantae,Plantae,57090.0
Erysimum capitatum,Western Wallflower,Plantae,Plantae,50628.0
Erysiphe australiana,Crape Myrtle Mildew,Fungi,Fungi,446915.0
Erythemis collocata,Western Pondhawk,Insecta,Animalia,85408.0
Erythemis simplicicollis,Eastern Pondhawk,Insecta,Animalia,61495.0
Erythrina,Coral trees,Plantae,Plantae,82771.0
Erythrina afra,South African Coral Tree,Plantae,Plantae,1588191.0
Erythrina latissima,Broadleaf Coraltree,Plantae,Plantae,139165.0
Erythrina lysistemon,Common Coral Tree,Plantae,Plantae,119673.0
Erythrodiplax berenice,Seaside Dragonlet,Insecta,Animalia,100391.0
Erythrolamprus reginae,Royal Ground Snake,Reptilia,Animalia,539696.0
Eschscholzia californica,California poppy,Plantae,Plantae,48225.0
Esox lucius,Northern Pike,Actinopterygii,Animalia,55387.0
Estigmene acrea,Salt Marsh Moth,Insecta,Animalia,121612.0
Estigmene trivitta,Three-striped Ermine,Insecta,Animalia,665007.0
Estrilda astrild,Bushveld Common Waxbill,Aves,Animalia,698199.0
