observed_on,time_zone,url,image_url,sound_url,positional_accuracy,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,captive_cultivated,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_species_name,predator_taxon_kingdom_name,predator_taxon_phylum_name,predator_taxon_subphylum_name,predator_taxon_superclass_name,predator_taxon_class_name,predator_taxon_subclass_name,predator_taxon_superorder_name,predator_taxon_order_name,predator_taxon_suborder_name,predator_taxon_superfamily_name,predator_taxon_family_name,predator_taxon_subfamily_name,predator_taxon_supertribe_name,predator_taxon_tribe_name,predator_taxon_subtribe_name,predator_taxon_genus_name,predator_taxon_genushybrid_name,predator_taxon_species_name,predator_taxon_hybrid_name,predator_taxon_subspecies_name,predator_taxon_variety_name,predator_taxon_form_name,predator_description,predator_agreements,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_species_name,prey_taxon_kingdom_name,prey_taxon_phylum_name,prey_taxon_subphylum_name,prey_taxon_superclass_name,prey_taxon_class_name,prey_taxon_subclass_name,prey_taxon_superorder_name,prey_taxon_order_name,prey_taxon_suborder_name,prey_taxon_superfamily_name,prey_taxon_family_name,prey_taxon_subfamily_name,prey_taxon_supertribe_name,prey_taxon_tribe_name,prey_taxon_subtribe_name,prey_taxon_genus_name,prey_taxon_genushybrid_name,prey_taxon_species_name,prey_taxon_hybrid_name,prey_taxon_subspecies_name,prey_taxon_variety_name,prey_taxon_form_name,prey_description,prey_agreements
2014-03-25,Harare,http://www.inaturalist.org/observations/1135272,https://inaturalist-open-data.s3.amazonaws.com/photos/1427749/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.068663,35.182067,,Cheringoma,Sofala,Mozambique,,False,1135272.0,Tabanus taeniola,,Insecta,Tabanus taeniola,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Tabaninae,,Tabanini,,Tabanus,,Tabanus taeniola,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,Harare,http://www.inaturalist.org/observations/1214196,https://inaturalist-open-data.s3.amazonaws.com/photos/1532470/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,1214196.0,Eristalinus taeniops,Stripe-eyed Lagoon Fly,Insecta,Eristalinus taeniops,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,Eristalini,Eristalina,Eristalinus,,Eristalinus taeniops,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-05,Harare,http://www.inaturalist.org/observations/1480375,https://inaturalist-open-data.s3.amazonaws.com/photos/1835178/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,1480375.0,Baryphas ahenus,Baryphas Jumping Spider,Arachnida,Baryphas ahenus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Plexippini,Plexippina,Baryphas,,Baryphas ahenus,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,Harare,http://www.inaturalist.org/observations/1480419,https://inaturalist-open-data.s3.amazonaws.com/photos/1835223/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,1480419.0,Baryphas ahenus,Baryphas Jumping Spider,Arachnida,Baryphas ahenus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,Plexippini,Plexippina,Baryphas,,Baryphas ahenus,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-16,Eastern Time (US & Canada),http://www.inaturalist.org/observations/1515087,https://inaturalist-open-data.s3.amazonaws.com/photos/1876902/medium.jpg,,,"Leon County, US-FL, US",30.43826,-84.28073,,Leon,Florida,United States,"No, none of these",False,1515087.0,Pantherophis spiloides,Gray Ratsnake,Reptilia,Pantherophis spiloides,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Pantherophis,,Pantherophis spiloides,,,,,Juvenile rat snake(?) eating a bird it cauhgt in a tree within a residential area,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,Harare,http://www.inaturalist.org/observations/1541573,https://inaturalist-open-data.s3.amazonaws.com/photos/1909605/medium.jpg,,5.0,"Harare, Zimbabwe",-17.81177,31.081462,,Harare,Harare,Zimbabwe,,False,1541573.0,Stactolaema whytii,Whyte's Barbet,Aves,Stactolaema whytii,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Lybiidae,,,,,Stactolaema,,Stactolaema whytii,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,Harare,http://www.inaturalist.org/observations/1560560,https://inaturalist-open-data.s3.amazonaws.com/photos/1932050/medium.jpg,,10.0,"Mukuvisi Woodland, Harare",-17.845774,31.086749,,Harare,Harare,Zimbabwe,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560560.0,Pappea capensis,Jacket plum,Plantae,Pappea capensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Pappea,,Pappea capensis,,,,,,1.0
2015-05-25,Harare,http://www.inaturalist.org/observations/1560782,https://inaturalist-open-data.s3.amazonaws.com/photos/1932333/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,1560782.0,Insignorthezia insignis,Greenhouse Orthezia,Insecta,Insignorthezia insignis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Ortheziidae,,,,,Insignorthezia,,Insignorthezia insignis,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,Harare,http://www.inaturalist.org/observations/1564429,https://inaturalist-open-data.s3.amazonaws.com/photos/1936840/medium.jpg,,47.0,"Mukuvisi Woodland, Harare",-17.844446,31.084056,,Harare,Harare,Zimbabwe,,False,1564429.0,Borbo gemella,Twin Swift,Insecta,Borbo gemella,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Baorini,,Borbo,,Borbo gemella,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,London,http://www.inaturalist.org/observations/1587964,https://inaturalist-open-data.s3.amazonaws.com/photos/1958040/medium.jpg,,12405.0,"Pleven, BG",43.58437,24.97467,,Nikopol,Pleven,Bulgaria,"No, none of these",False,1587964.0,Coracias garrulus,European Roller,Aves,Coracias garrulus,Animalia,Chordata,Vertebrata,,Aves,,,Coraciiformes,,,Coraciidae,,,,,Coracias,,Coracias garrulus,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
