predator_scientific_name,prey_scientific_name,observed_on,time_zone,image_url,sound_url,positional_accuracy,place,place_town,place_county,place_state,place_country,latitude,longitude,type_of_feeding,url,captive_cultivated,description,prey_agreements,predator_agreements
Pseudolynchia canariensis,Spilopelia senegalensis,2018-05-05,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/17511065/medium.jpg,,,"Newlands, Harare, Zimbabwe",,Harare,Harare,Zimbabwe,-17.811815,31.0808066667,,https://www.inaturalist.org/observations/12192407,False,,1.0,1.0
Lampropeltis californiae,Elgaria multicarinata,2015-05-07,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/17608533/medium.png,,61.0,"Santa Barbara County, CA, USA",,Santa Barbara,California,United States,34.5840239304,-120.0972981754,"No, none of these",https://www.inaturalist.org/observations/12248949,False,,5.0,8.0
Lampropeltis californiae,Elgaria multicarinata,2015-05-07,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/17608544/medium.png,,385.0,"Santa Ynez Valley, California 93460, USA",,Santa Barbara,California,United States,34.5841542,-120.0973685,"No, none of these",https://www.inaturalist.org/observations/12248950,False,,5.0,8.0
Anthus cinnamomeus,Basiothia medea,2018-05-13,Africa/Johannesburg,https://inaturalist-open-data.s3.amazonaws.com/photos/17910645/medium.jpeg,,100.0,"iSimangaliso, South Africa",,Hlabisa,KwaZulu-Natal,South Africa,-28.3386,32.3737,,https://www.inaturalist.org/observations/12423946,False,,2.0,2.0
Anthus cinnamomeus,Basiothia medea,2018-05-13,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/17910345/medium.jpeg,,100.0,"iSimangaliso, South Africa",,Hlabisa,KwaZulu-Natal,South Africa,-28.3386,32.3737,,https://www.inaturalist.org/observations/12423948,False,,2.0,2.0
Typocerus zebra,Oenothera speciosa,2015-05-10,Central Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/18617053/medium.jpeg,,200.0,"West Livingston, TX 77351, USA",,Polk,Texas,United States,30.6643833248,-95.0035428979,Pollination,https://www.inaturalist.org/observations/12833153,False,,1.0,1.0
Typocerus zebra,Oenothera speciosa,2015-05-10,Central Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/18617053/medium.jpeg,,200.0,"West Livingston, TX 77351, USA",,Polk,Texas,United States,30.6643833248,-95.0035428979,Pollination,https://www.inaturalist.org/observations/12833171,False,,1.0,1.0
Anthopleura elegantissima,Hemigrapsus nudus,2018-06-12,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/19611627/medium.jpg,,15.0,"Northwest Seattle, Seattle, WA, USA",,King,Washington,United States,47.7138198561,-122.3783277011,"No, none of these",https://www.inaturalist.org/observations/13376691,False,,1.0,1.0
Anthopleura elegantissima,Hemigrapsus nudus,2018-06-12,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/19611761/medium.jpg,,31.0,"Northwest Seattle, Seattle, WA, USA",,King,Washington,United States,47.7139749567,-122.3782821881,"No, none of these",https://www.inaturalist.org/observations/13376692,False,,1.0,1.0
Mecaphesa,Leptoglossus phyllopus,2018-06-15,Eastern Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/19749001/medium.jpeg,,,"684 Knotts Island Rd, Knotts Island, NC 27950, USA",,Currituck,North Carolina,United States,36.5119018555,-75.9277572632,"No, none of these",https://www.inaturalist.org/observations/13454098,False,,1.0,1.0
Larus glaucescens × occidentalis,Neverita lewisii,2018-06-15,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/19770383/medium.jpg,,,"Ballard, Seattle, WA, USA",,King,Washington,United States,47.6946678056,-122.4015579167,"No, none of these",https://www.inaturalist.org/observations/13466688,False,,1.0,1.0
